연도, 직업재활급여 직장복귀지원금(천원), 직업재활급여 직장적응(천원) , 직업재활급여 재활운동 (천원), 장해등급별 직장복귀 지원현황(1-3급) (천원), 장해등급별 직장복귀 지원현황(4-9급) (천원), 장해등급별 직장복귀 지원현황(10-12급) (천원), 장해등급별 직장적응훈련현황(1-3급) (천원), 장해등급별 직장적응훈련현황(4-9급) (천원), 장해등급별 직장적응훈련현황(10-12급) (천원), 장해등급별 재활운동지원현황(1-3급) (천원), 장해등급별 재활운동 지원현황(4-9급) (천원), 장해등급별 재활운동 지원현황(10-12급) (천원), 직업재활급여 직업훈련 (천원),산재보상기금 출연금 직업훈련 (천원), 산재노동자 직업훈련 전체 (천원), 직업훈련비용지원 위탁훈련 선발인원 (명), 직업훈련비용지원 위탁훈련 수료인원  (명), 직업훈련비용지원 위탁훈련 취업자  (명), 직업훈련비용지원 위탁훈련 중도탈락  (명), 합병증 진료카드발급자 (명), 합병증 진료카드 수급자  (명), 합병증 등 예방관리제도 지급액 (천원), 내일찾기 서비스 총상담자  (명), 내일찾기 서비스 사례관리 대상자  (명), 내일찾기 서비스 직업평가  (명), 내일찾기 서비스 사례관리 계획수립  (명), 내일찾기서비스 직업배치  (명), 내일찾기 서비스 최초요양승인자  (명), 내일찾기 서비스 승인후 최초상담  (명),내일찾기 서비스 사회복귀 지원상담(건수), 내일찾기 서비스 선정  (명), 내일찾기 서비스 직업배치  (명), 사회적응프로그램 위탁기관 (개소), 사회적응프로그램 교육인원  (명), 사회적응프로그램 지원금액 (천원), 산재근로자 창업점포 임대지원건수 (건), 산재근로자 창업점포 임대지원금액 (천원), 산재근로자자녀(고등학교) 장학금 지급인원  (명), 산재근로자자녀(고등학교) 장학금 지급금액 (천원), 생활안정자금신용대부인원 (명), 생활안정자금신용대부금액 (백만원)
2001,,,,,,,,,,,,,,2186600,2186600,1655,1109,353,223,6085,1687,893447,22570,4937,3030,2970,683,,,,,,,,,68,3063600,3691,3541000,335,1698
2002,,,,,,,,,,,,,,4988595,4988595,2813,2191,437,233,14935,7313,4212816,33556,5617,3670,3485,1240,,,,,,7,565,138200,156,7573000,3448,4049000,1351,6728
2003,,,,,,,,,,,,,,5788477,5788477,1995,2605,992,249,18675,14302,8430361,34370,3614,2617,3031,1526,,,,,,14,341,102033,154,8151000,3424,4302000,1114,5539
2004,314060,,,1857,312203,,,,,,,,,4878564,4878564,2838,1972,721,100,19399,20481,12307332,36993,4037,3458,3802,2250,,,,,,21,501,242804,142,7576000,3571,4745000,1877,9362
2005,2202969,,,14879,2188090,,,,,,,,,9444010,9444010,4384,2707,1205,262,20714,26346,16057793,52847,5360,5258,5493,2668,,,,,,19,409,233646,151,8564000,3736,4991000,1917,9557
2006,2779938,,,46073,2733865,,,,,,,,,11478885,11478885,5680,3361,1779,237,21101,31038,20276189,54175,7606,6999,7302,3029,,,,,,28,504,320040,149,8501900,3815,5491000,1210,9986
2007,2902469,1750,1676,26637,2879258,,,1750,,,1676,,,17171348,17171348,5731,4806,2976,354,18487,37560,29479008,58305,7326,6735,6969,3942,,,,,,27,523,330941,125,7249000,4810,6222000,1096,8918
2008,2791583,19671,4208,20753,2794591,,,19671,,,4208,,,12513321,12513321,4464,3607,2449,267,16614,37794,33194486,54592,8105,8187,8254,4505,,,,,,40,794,540557,105,6915800,4433,6564000,1572,12837
2009,3111085,15105,3372,30640,3098922,,,15105,,,3372,,1161029,6239880,7400909,5386,4024,2629,705,13433,33499,33244966,36878,8454,8296,8341,5248,,,,,,31,545,410792,129,9155000,4344,6159000,1525,12196
2010,6756255,19102,4171,7200,2457795,138439,,16867,2235,,3352,819,2438344,3362899,5801243,3379,2173,1534,548,14415,33861,37593390,42082,8786,6351,6201,5445,,,,,,32,593,456834,108,7142500,4460,6405000,1637,12996
